0,1
12.87238,3.62299
1,1
13.91075,2.55109
2,1
14.91222,1.54961
3,1
15.98232,0.47953
4,1
16.6827,-0.25414
5,1
17.18512,-0.79012
6,1
17.18511,-1.9584
7,1
17.1553,-2.98865
8,1
17.15531,-3.99746
9,1
17.15532,-4.91023
10,1
17.15532,-6.01906
11,1
17.15532,-7.08777
12,1
16.1807,-7.08777
13,1
15.12254,-7.08775
14,1
14.19965,-7.08773
15,1
13.29576,-7.08775
16,1
12.19258,-7.45944
17,1
11.72076,-7.45944
18,1
10.62273,-7.45948
19,1
9.55015,-8.49791
20,1
8.36515,-8.49791
21,1
7.22991,-8.4979
22,1
5.98515,-7.21984
23,1
4.78404,-6.0528
24,1
5.80958,-5.06068
25,1
6.65672,-5.0607
26,1
6.65674,-4.05159
27,1
6.65669,-2.0475
28,1
8.07566,-2.04749
29,1
8.85018,-2.37246
30,1
8.85019,-0.26713
31,1
7.71862,0.86441
32,1
6.8486,1.66733
33,1
5.88316,0.49459
