21835.0,3795.0,21835.0,4218.0
20802.0,4243.0,12130.0,4243.0
12130.0,4243.0,12127.0,3276.0
10117.0,2301.0,10117.0,-567.0
11868.0,2056.0,12089.0,2056.0
12107.0,2046.0,12107.0,-2612.0
12119.0,-3176.0,16003.0,-3177.0
19515.0,-10366.0,20555.0,-10366.0
12872.0,3623.0,12872.0,3623.0
12872.0,3623.0,12872.0,3623.0
21835.0,-9578.0,21835.0,-8931.0
17984.0,-3361.0,17984.0,-3192.0
18099.0,-3176.0,21702.0,-3177.0
21835.0,-3112.0,21834.0,3654.0
21835.0,2727.0,21834.0,4149.0
21821.0,4243.0,12142.0,4243.0
12127.0,4217.0,12127.0,3276.0
12127.0,3276.0,11941.0,3272.0
10117.0,3889.0,10117.0,1677.0
11870.0,2055.0,12061.0,2055.0
12107.0,2045.0,12107.0,-3127.0
12165.0,-3177.0,16015.0,-3176.0
18831.0,-10367.0,21665.0,-10366.0
21835.0,-10304.0,21835.0,-9342.0
17984.0,-3409.0,17984.0,-3261.0
18027.0,-3176.0,21773.0,-3176.0
21835.0,-3080.0,21835.0,2603.0
21835.0,1696.0,21834.0,4177.0
21763.0,4243.0,12168.0,4243.0
12127.0,4219.0,12127.0,3311.0
12117.0,3272.0,11882.0,3272.0
10117.0,4201.0,10117.0,2457.0
12107.0,2046.0,12107.0,-3085.0
12127.0,-3177.0,15976.0,-3176.0
17743.0,-10367.0,21672.0,-10367.0
21835.0,-10326.0,21835.0,-9707.0
17984.0,-3317.0,17984.0,-3191.0
18054.0,-3176.0,21716.0,-3176.0
21835.0,-3139.0,21834.0,1588.0
21835.0,571.0,21835.0,4226.0
21712.0,4243.0,12190.0,4243.0
12127.0,4216.0,12127.0,3281.0
12043.0,3271.0,11943.0,3271.0
10398.0,4243.0,10254.0,4243.0
10117.0,4234.0,10117.0,2909.0
12107.0,2032.0,12107.0,-3131.0
12150.0,-3177.0,15997.0,-3176.0
16152.0,-10366.0,21401.0,-10366.0
17984.0,-3412.0,17984.0,-3196.0
18030.0,-3176.0,21743.0,-3176.0
21834.0,-3138.0,21834.0,480.0
